手術日期,護理站,成本中心,人數,週,年,開刀總人數,開刀最多人,前1週開刀人數,前1週開刀最多人,前1週開刀平均人數
2019-11-17,D15,DLN5,1,46,2019.0,30,9.0,33.0,7.0,4.71
2019-11-24,D15,DLN5,1,47,2019.0,37,9.0,30.0,9.0,4.29
2019-12-01,D15,DLN5,2,48,2019.0,41,12.0,37.0,9.0,5.29
2019-12-07,D15,DLN5,1,49,2019.0,39,9.0,41.0,12.0,5.86
2019-12-14,D15,DLN5,1,50,2019.0,29,9.0,39.0,9.0,5.57
2019-12-22,D15,DLN5,4,51,2019.0,39,10.0,29.0,9.0,4.14
2019-12-29,D15,DLN5,1,52,2019.0,39,9.0,39.0,10.0,5.57
2020-01-05,D15,DLN5,3,1,2020.0,29,9.0,39.0,9.0,5.57
2020-01-12,D15,DLN5,4,2,2020.0,34,10.0,29.0,9.0,4.14
2020-01-18,D15,DLN5,4,3,2020.0,35,9.0,34.0,10.0,4.86
2020-01-21,D15,DLN5,3,4,2020.0,9,6.0,35.0,9.0,5.0
2020-02-02,D15,DLN5,1,5,2020.0,4,1.0,9.0,6.0,1.29
2020-02-09,D15,DLN5,1,6,2020.0,38,11.0,4.0,1.0,0.57
2020-02-16,D15,DLN5,2,7,2020.0,42,10.0,38.0,11.0,5.43
2020-02-23,D15,DLN5,1,8,2020.0,38,10.0,42.0,10.0,6.0
2020-03-01,D15,DLN5,1,9,2020.0,32,7.0,38.0,10.0,5.43
2020-03-08,D15,DLN5,1,10,2020.0,35,9.0,32.0,7.0,4.57
2020-03-15,D15,DLN5,2,11,2020.0,32,8.0,35.0,9.0,5.0
2020-03-21,D15,DLN5,5,12,2020.0,34,9.0,32.0,8.0,4.57
2020-03-29,D15,DLN5,1,13,2020.0,18,5.0,34.0,9.0,4.86
2020-04-03,D15,DLN5,1,14,2020.0,17,7.0,18.0,5.0,2.57
2020-04-11,D15,DLN5,1,15,2020.0,26,7.0,17.0,7.0,2.43
2020-04-19,D15,DLN5,2,16,2020.0,31,8.0,26.0,7.0,3.71
2020-04-24,D15,DLN5,7,17,2020.0,19,7.0,31.0,8.0,4.43
2020-05-03,D15,DLN5,1,18,2020.0,28,8.0,19.0,7.0,2.71
2020-05-09,D15,DLN5,1,19,2020.0,25,6.0,28.0,8.0,4.0
2020-05-17,D15,DLN5,2,20,2020.0,34,8.0,25.0,6.0,3.57
2020-05-23,D15,DLN5,1,21,2020.0,38,16.0,34.0,8.0,4.86
2020-05-30,D15,DLN5,1,22,2020.0,29,7.0,38.0,16.0,5.43
2020-06-07,D15,DLN5,1,23,2020.0,35,9.0,29.0,7.0,4.14
2020-06-14,D15,DLN5,1,24,2020.0,30,9.0,35.0,9.0,5.0
