,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
0,2019-01-21,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,20.0,0.0,0.0,20.0,20.0,0.0,4
0,2020-05-04,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,20.0,0.0,0.0,10.0,10.0,0.0,19
1,2020-06-15,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,20.0,0.0,0.0,20.0,20.0,0.0,25
0,2021-02-01,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,20.0,0.0,0.0,10.0,10.0,0.0,5
1,2021-10-18,K82430234,LABORATORY OF PLASTIC TUBE,16x125mm 500/cs,支,T,20.0,0.0,0.0,15.0,15.0,0.0,42
