,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
11,2020-12-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,50
12,2020-12-21,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,52
0,2021-01-25,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,4
1,2021-01-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,150.0,150.0,0.0,4
2,2021-04-12,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,15
3,2021-05-10,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,19
4,2021-05-17,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,20
5,2021-05-31,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,22
6,2021-06-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,23
7,2021-06-07,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,23
8,2021-09-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,150.0,150.0,0.0,35
9,2021-09-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,37
10,2021-10-26,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,43
11,2021-11-22,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,47
12,2021-11-29,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,48
13,2021-12-03,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,48
14,2021-12-13,V04702002,體溫速測儀專用膠套,500pc/box,個,T,50.0,0.0,0.0,50.0,50.0,0.0,50
