,庫房,料號,品名,數量,週,工作日,帳務日期
3324,DLN5,A46441986,幫浦輸液套(一般型),5.0,1,True,2021-01-08
3343,DLN5,A46441986,幫浦輸液套(一般型),19.0,2,False,2021-01-16
3345,DLN5,A46441986,幫浦輸液套(一般型),2.0,3,True,2021-01-22
3350,DLN5,A46441986,幫浦輸液套(一般型),8.0,4,True,2021-01-28
7510,DLN5,A46441986,幫浦輸液套(一般型),11.0,5,True,2021-02-05
3319,DLN5,A46441986,幫浦輸液套(一般型),0.0,6,True,2021-01-29
7520,DLN5,A46441986,幫浦輸液套(一般型),10.0,7,False,2021-02-21
7528,DLN5,A46441986,幫浦輸液套(一般型),8.0,8,True,2021-02-26
3319,DLN5,A46441986,幫浦輸液套(一般型),0.0,9,True,2021-01-29
11872,DLN5,A46441986,幫浦輸液套(一般型),9.0,10,True,2021-03-12
11878,DLN5,A46441986,幫浦輸液套(一般型),6.0,11,True,2021-03-19
11880,DLN5,A46441986,幫浦輸液套(一般型),2.0,12,True,2021-03-24
16252,DLN5,A46441986,幫浦輸液套(一般型),7.0,13,True,2021-04-01
16263,DLN5,A46441986,幫浦輸液套(一般型),11.0,14,False,2021-04-11
16265,DLN5,A46441986,幫浦輸液套(一般型),2.0,15,True,2021-04-14
16272,DLN5,A46441986,幫浦輸液套(一般型),8.0,16,True,2021-04-23
20511,DLN5,A46441986,幫浦輸液套(一般型),10.0,17,False,2021-05-01
20512,DLN5,A46441986,幫浦輸液套(一般型),1.0,18,False,2021-05-05
20516,DLN5,A46441986,幫浦輸液套(一般型),4.0,19,True,2021-05-14
20524,DLN5,A46441986,幫浦輸液套(一般型),8.0,20,True,2021-05-21
3319,DLN5,A46441986,幫浦輸液套(一般型),0.0,21,True,2021-01-29
24936,DLN5,A46441986,幫浦輸液套(一般型),5.0,22,True,2021-06-04
24943,DLN5,A46441986,幫浦輸液套(一般型),7.0,23,False,2021-06-13
24946,DLN5,A46441986,幫浦輸液套(一般型),3.0,24,False,2021-06-20
24954,DLN5,A46441986,幫浦輸液套(一般型),8.0,25,True,2021-06-25
29692,DLN5,A46441986,幫浦輸液套(一般型),4.0,26,True,2021-07-02
29693,DLN5,A46441986,幫浦輸液套(一般型),1.0,27,True,2021-07-07
29700,DLN5,A46441986,幫浦輸液套(一般型),7.0,28,False,2021-07-18
29706,DLN5,A46441986,幫浦輸液套(一般型),7.0,29,True,2021-07-23
29709,DLN5,A46441986,幫浦輸液套(一般型),4.0,30,True,2021-07-30
34096,DLN5,A46441986,幫浦輸液套(一般型),4.0,31,True,2021-08-06
34102,DLN5,A46441986,幫浦輸液套(一般型),6.0,32,True,2021-08-13
34106,DLN5,A46441986,幫浦輸液套(一般型),4.0,33,True,2021-08-20
34114,DLN5,A46441986,幫浦輸液套(一般型),8.0,34,True,2021-08-27
38672,DLN5,A46441986,幫浦輸液套(一般型),9.0,35,False,2021-09-05
38682,DLN5,A46441986,幫浦輸液套(一般型),12.0,36,False,2021-09-12
38689,DLN5,A46441986,幫浦輸液套(一般型),8.0,37,True,2021-09-17
38699,DLN5,A46441986,幫浦輸液套(一般型),10.0,38,True,2021-09-26
43057,DLN5,A46441986,幫浦輸液套(一般型),8.0,39,False,2021-10-01
43061,DLN5,A46441986,幫浦輸液套(一般型),4.0,40,True,2021-10-08
43066,DLN5,A46441986,幫浦輸液套(一般型),5.0,41,True,2021-10-15
43071,DLN5,A46441986,幫浦輸液套(一般型),5.0,42,True,2021-10-22
43075,DLN5,A46441986,幫浦輸液套(一般型),4.0,43,True,2021-10-29
47126,DLN5,A46441986,幫浦輸液套(一般型),5.0,44,False,2021-11-07
47133,DLN5,A46441986,幫浦輸液套(一般型),7.0,45,True,2021-11-12
47136,DLN5,A46441986,幫浦輸液套(一般型),3.0,46,True,2021-11-19
47139,DLN5,A46441986,幫浦輸液套(一般型),3.0,47,False,2021-11-27
51426,DLN5,A46441986,幫浦輸液套(一般型),5.0,48,True,2021-12-03
51430,DLN5,A46441986,幫浦輸液套(一般型),4.0,49,True,2021-12-10
51435,DLN5,A46441986,幫浦輸液套(一般型),5.0,50,True,2021-12-17
51438,DLN5,A46441986,幫浦輸液套(一般型),3.0,51,True,2021-12-24
51444,DLN5,A46441986,幫浦輸液套(一般型),6.0,52,True,2021-12-30
