,日期,料號,品名,規格,單位,屬性,常備量,昨日庫存量,批價量(-),領用量(-),受料量(+),本日庫存量,週
13,2020-06-16,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,25
14,2020-06-30,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,27
15,2020-07-06,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,28
16,2020-07-21,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,10.0,10.0,0.0,30
17,2020-08-18,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,34
18,2020-08-25,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,35
19,2020-09-01,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,36
20,2020-09-08,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,37
21,2020-09-15,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,38
22,2020-09-22,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,39
23,2020-09-29,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,40
24,2020-10-06,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,41
25,2020-10-13,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,42
26,2020-10-20,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,43
27,2020-10-27,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,44
28,2020-11-02,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,45
29,2020-11-10,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,46
30,2020-11-17,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,47
31,2020-11-24,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,48
32,2020-12-01,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,49
33,2020-12-08,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,50
34,2020-12-15,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,51
35,2020-12-22,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,52
36,2020-12-29,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,53
0,2021-01-23,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,-1.0,-1.0,0.0,3
1,2021-01-26,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,4
2,2021-02-02,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,5
3,2021-02-09,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,6
4,2021-03-12,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,10.0,10.0,0.0,10
5,2021-04-06,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,14
6,2021-04-13,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,15
7,2021-04-20,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,16
8,2021-05-12,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,19
9,2021-05-18,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,20
10,2021-05-25,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,21
11,2021-06-08,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,23
12,2021-07-06,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,27
13,2021-07-13,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,28
14,2021-07-20,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,29
15,2021-07-29,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,30
16,2021-08-05,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,31
17,2021-08-17,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,33
18,2021-08-24,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,34
19,2021-09-07,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,36
20,2021-09-14,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,37
21,2021-09-20,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,38
22,2021-09-28,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,39
23,2021-10-05,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,40
24,2021-10-12,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,41
25,2021-10-19,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,42
26,2021-10-26,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,43
27,2021-11-02,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,44
28,2021-11-09,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,45
29,2021-11-16,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,46
30,2021-11-23,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,47
31,2021-11-30,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,48
32,2021-12-07,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,49
33,2021-12-16,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,2.0,2.0,0.0,50
34,2021-12-22,U00202050,氧氣流量表接頭--聖誕樹,單側鑽孔3mm,個,T,2.0,0.0,0.0,10.0,10.0,0.0,51
